Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.640V
Average			  :,V=3.375V
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,40.00uS

index,CH1_Voltage(mV)
615,4560.00
616,4560.00
617,4560.00
618,4480.00
619,4560.00
620,4480.00
621,4560.00
622,4480.00
623,4560.00
624,4560.00
625,4560.00
626,4480.00
627,4480.00
628,4560.00
629,4560.00
630,4480.00
631,4560.00
632,4480.00
633,4560.00
634,4480.00
635,4560.00
636,4480.00
637,4480.00
638,4560.00
639,4480.00
640,4560.00
641,4560.00
642,4560.00
643,4560.00
644,4480.00
645,4480.00
646,4560.00
647,4560.00
648,4480.00
649,4560.00
650,4560.00
651,4560.00
652,4560.00
653,4560.00
654,4560.00
655,4560.00
656,4560.00
657,4480.00
658,4480.00
659,4560.00
660,4560.00
661,4480.00
662,4560.00
663,4560.00
664,4480.00
665,4480.00
666,4560.00
667,4560.00
668,4560.00
669,4560.00
670,4560.00
671,4560.00
672,4560.00
673,4480.00
674,4560.00
675,4560.00
676,4560.00
677,4560.00
678,4480.00
679,4560.00
680,4560.00
681,4560.00
682,4480.00
683,4560.00
684,4560.00
685,4480.00
686,4560.00
687,4560.00
688,4560.00
689,4560.00
690,4560.00
691,4560.00
692,4560.00
693,4560.00
694,4480.00
695,4560.00
696,4560.00
697,4560.00
698,4560.00
699,4560.00
700,4560.00
701,4560.00
702,4560.00
703,4560.00
704,4560.00
705,4560.00
706,4480.00
707,4560.00
708,4560.00
709,4480.00
710,4560.00
711,4560.00
712,4560.00
713,4560.00
714,4560.00
715,4480.00
716,4560.00
717,4560.00
718,4480.00
719,4480.00
720,4560.00
721,4560.00
722,4560.00
723,4480.00
724,4560.00
725,4480.00
726,4560.00
727,4480.00
728,4560.00
729,4480.00
730,4480.00
731,4560.00
732,4560.00
733,4480.00
734,4560.00
735,4560.00
736,4560.00
737,4480.00
738,4480.00
739,4480.00
740,4480.00
741,4480.00
742,4560.00
743,4480.00
744,4480.00
745,4560.00
746,4480.00
747,4560.00
748,4560.00
749,4560.00
750,4560.00
751,4560.00
752,4560.00
753,4480.00
754,4560.00
755,4560.00
756,4560.00
757,4560.00
758,4560.00
759,4560.00
760,4560.00
761,4560.00
762,4480.00
763,4560.00
764,4560.00
765,4560.00
766,4560.00
767,4480.00
768,4480.00
769,4560.00
770,4560.00
771,4480.00
772,4560.00
773,4480.00
774,4560.00
775,4480.00
776,4480.00
777,4560.00
778,4480.00
779,4480.00
780,4560.00
781,4560.00
782,4480.00
783,4560.00
784,4480.00
785,4560.00
786,4560.00
787,4560.00
788,4560.00
789,4480.00
790,4480.00
791,4480.00
792,4560.00
793,4480.00
794,4480.00
795,4560.00
796,4560.00
797,4480.00
798,4480.00
799,4560.00
800,4560.00
801,4560.00
802,4560.00
803,4480.00
804,4560.00
805,4560.00
806,4560.00
807,4560.00
808,4560.00
809,4560.00
810,4480.00
811,4480.00
812,4480.00
813,4560.00
814,4560.00
815,4560.00
816,4560.00
817,4480.00
818,4560.00
819,4560.00
820,4560.00
821,4560.00
822,4480.00
823,4480.00
824,4480.00
825,4560.00
826,4560.00
827,4560.00
828,4480.00
829,4560.00
830,4480.00
831,4560.00
832,4560.00
833,4560.00
834,4480.00
835,4480.00
836,4480.00
837,4560.00
838,4560.00
839,4560.00
840,4560.00
841,4480.00
842,4560.00
843,4560.00
844,4480.00
845,4480.00
846,4560.00
847,4560.00
848,4480.00
849,4560.00
850,4560.00
851,4560.00
852,4480.00
853,4480.00
854,4480.00
855,4480.00
856,4560.00
857,4560.00
858,4560.00
859,4560.00
860,4480.00
861,4480.00
862,4480.00
863,4560.00
864,4560.00
865,4560.00
866,4560.00
867,4560.00
868,4560.00
869,4560.00
870,4560.00
871,4560.00
872,4560.00
873,4560.00
874,4560.00
875,4480.00
876,4560.00
877,4480.00
878,4480.00
879,4560.00
880,4560.00
881,4480.00
882,4480.00
883,4560.00
884,4480.00
885,4560.00
886,4480.00
887,4560.00
888,4560.00
889,4560.00
890,4480.00
891,4560.00
892,4560.00
893,4480.00
894,80.00
895,80.00
896,80.00
897,0.00
898,0.00
899,80.00
900,0.00
901,0.00
902,0.00
903,0.00
904,0.00
905,0.00
906,0.00
907,0.00
908,0.00
909,0.00
910,0.00
911,0.00
912,0.00
913,0.00
914,0.00
915,0.00
916,0.00
917,0.00
918,0.00
919,0.00
920,0.00
921,0.00
922,0.00
923,0.00
924,0.00
925,0.00
926,0.00
927,0.00
928,0.00
929,0.00
930,0.00
931,0.00
932,0.00
933,0.00
934,0.00
935,0.00
936,0.00
937,0.00
938,0.00
939,0.00
940,0.00
941,0.00
942,0.00
943,0.00
944,0.00
945,0.00
946,0.00
947,0.00
948,0.00
949,0.00
950,0.00
951,0.00
952,0.00
953,0.00
954,0.00
955,0.00
956,0.00
957,0.00
958,0.00
959,0.00
960,0.00
961,0.00
962,0.00
963,0.00
964,0.00
965,0.00
966,0.00
967,0.00
968,0.00
969,0.00
970,0.00
971,0.00
972,0.00
973,0.00
974,0.00
975,0.00
976,0.00
977,0.00
978,0.00
979,0.00
980,0.00
981,0.00
982,0.00
983,0.00
984,0.00
985,0.00
986,0.00
987,0.00
988,0.00
989,0.00
990,0.00
991,0.00
992,0.00
993,0.00
994,0.00
995,0.00
996,0.00
997,0.00
998,0.00
999,0.00
1000,0.00
1001,0.00
1002,0.00
1003,0.00
1004,0.00
1005,0.00
1006,0.00
1007,0.00
1008,0.00
1009,0.00
1010,0.00
1011,0.00
1012,0.00
1013,0.00
1014,0.00
1015,0.00
1016,0.00
1017,0.00
1018,0.00
1019,0.00
1020,0.00
1021,0.00
1022,0.00
1023,0.00
1024,0.00
1025,0.00
1026,0.00
1027,0.00
1028,0.00
1029,0.00
1030,0.00
1031,0.00
1032,0.00
1033,0.00
1034,0.00
1035,0.00
1036,0.00
1037,0.00
1038,0.00
1039,0.00
1040,0.00
1041,0.00
1042,0.00
1043,0.00
1044,0.00
1045,0.00
1046,0.00
1047,0.00
1048,0.00
1049,0.00
1050,0.00
1051,0.00
1052,0.00
1053,0.00
1054,0.00
1055,0.00
1056,0.00
1057,0.00
1058,0.00
1059,0.00
1060,0.00
1061,0.00
1062,0.00
1063,0.00
1064,0.00
1065,0.00
1066,0.00
1067,0.00
1068,0.00
1069,0.00
1070,0.00
1071,0.00
1072,0.00
1073,0.00
1074,0.00
1075,0.00
1076,0.00
1077,0.00
1078,0.00
1079,0.00
1080,0.00
1081,0.00
1082,0.00
1083,0.00
1084,0.00
1085,0.00
1086,0.00
1087,0.00
1088,0.00
1089,0.00
1090,0.00
1091,0.00
1092,0.00
1093,0.00
1094,0.00
1095,0.00
1096,0.00
1097,0.00
1098,0.00
1099,0.00
1100,0.00
1101,0.00
1102,0.00
1103,0.00
1104,0.00
1105,0.00
1106,0.00
1107,0.00
1108,0.00
1109,0.00
1110,0.00
1111,0.00
1112,0.00
1113,0.00
1114,0.00
1115,0.00
1116,0.00
1117,0.00
1118,0.00
1119,0.00
1120,4400.00
1121,4400.00
1122,4480.00
1123,4480.00
1124,4480.00
1125,4480.00
1126,4560.00
1127,4480.00
1128,4480.00
1129,4480.00
1130,4480.00
1131,4480.00
1132,4560.00
1133,4480.00
1134,4480.00
1135,4480.00
1136,4480.00
1137,4480.00
1138,4560.00
1139,4480.00
1140,4560.00
1141,4480.00
1142,4480.00
1143,4560.00
1144,4480.00
